name,태그,text
Video_ Comparing numbers of objects.txt,"[0, 23]","이 텍스트를 한국어로 번역: 

Gavin은 이런 말들이 있습니다. 아래의 각 사진에 있는 말의 수가 Gavin이 가진 말의 수보다 많은지, 적은지, 아니면 같은지 알아봅시다. 그러니 우선 Gavin이 얼마나 많은 말을 가지고 있는지 봅시다. 그는 하나, 둘, 셋, 넷, 다섯, 여섯 마리의 말을 가지고 있습니다. 좋습니다, 그것을 기억합시다. 그리고 이런 양의 말을 Gavin이 가진 여섯 마리의 말과 비교합시다. 그럼 여기를 봅시다. 여기서 우리는 하나, 둘, 셋, 넷, 다섯, 여섯 마리의 말을 가지고 있습니다. 그래서 이것은 Gavin이 가진 수와 같습니다. 그들은 단지 다르게 배열되어 있을 뿐입니다. 그래서 이것은 같습니다. 우리는 같은 양에 놓겠습니다. 

이제 여기서는 하나, 둘, 셋, 넷, 다섯 마리의 말을 가지고 있습니다. 그래서 이것은 Gavin이 가진 여섯 마리의 말보다 적습니다. 다섯은 여섯보다 적습니다. 이제 하나, 둘, 셋, 넷, 다섯과 다른 다섯, 즉 십 마리의 말을 볼 수 있습니다. 또는 하나, 둘, 셋, 넷, 다섯, 여섯, 일곱, 여덟, 아홉, 십으로 셀 수 있습니다. 줄곧, 십은 여섯보다 많습니다.. 십은 여섯보다 많으므로, 더 많은 양에 놓겠습니다.

이제 여기에 넷과 넷이 있습니다. 그것은... 하나, 둘, 셋, 넷, 다섯, 여섯, 칠, 팔입니다. 다시 말해, 이것은 여기의 여섯보다 더 많습니다. 그것은 여섯보다 많습니다. 그리고 여기서 우리는 하나, 둘, 셋, 넷의 말을 가지고 있습니다. 그럼, 넷은 여섯보다 적습니다. 그래서 그것을 적은 양에 놓겠습니다. 그냥 이렇게. 그리고 우리의 대답을 확인해봅시다. 어떻게 했는지 알아봅시다. 고마워요. 우린 맞았구나."
Video_ Comparing numbers on the number line.txt,"[0, 22]","어떤 숫자들이 6보다 큰가요? 모두 선택해 보세요. 그래서 여기 수직선에서 6을 볼 수 있습니다. 그래서 수직선에서 6의 오른쪽에 있는 숫자들이 6보다 큰 숫자일 것입니다. 우리는 6이상으로 증가하는 것을 볼 수 있습니다. 6, 7, 8, 9, 10. 그래서 7은 6보다 크고, 8은 6보다 크고, 9는 6보다 크고, 10도 6보다 큽니다. 우리는 계속 갈 수 있습니다. 11도 6보다 크고 12도 마찬가지입니다. 그리고 계속 되고 있습니다. 그래서 이런 숫자들 중 어떤 것이 6보다 큰가요? 우리는 10이 오른쪽, 즉 6의 오른쪽에 있는 것을 볼 수 있습니다. 8도 6의 오른쪽에 있습니다. 하지만 4는 6의 왼쪽에 있습니다. 4는 6보다 작습니다. 그래서 이 두 숫자가 6보다 큰 선택입니다. 어떤 숫자들이 6보다 작은가요? 그것은 바로 여기 이 숫자들, 즉 6의 왼쪽에 있는 숫자들입니다. 그래서, 9는 확실히 6보다 작지 않지만, 4는 그렇습니다, 보세요, 4는 6의 왼쪽에 있고, 3는 6의 왼쪽 끝에 있으니까, 4와 3은 확실히 6보다 작습니다. 그리고 일상생활에서, 너가 4개의 물건을 가지고 있거나 3개의 물건을 가지고 있으면, 너는 6개의 물건을 가진 사람보다 덜 가지고 있는 것입니다. 그리고 일상생활에서, 너가 10개의 바나나를 가지고 있다면, 너는 6개의 바나나를 가진 사람보다 바나나를 더 많이 가지고 있는 것입니다. 감사합니다."
Video_ Counting by category.txt,"[0, 23, 22]","우리는 별, 숫자, 또는 글자를 가장 많이 세어 봅시다. 이것을 한 번 보겠습니다. 각각을 세어 보겠습니다. 그래서 별의 숫자를 보면, 우리는 하나, 둘, 셋의 별이 있습니다. 우리는 몇 개의 숫자를 가지고 있습니까? 우리는 하나, 두 개의 숫자를 가지고 있습니다. 두 개의 숫자를 가지고 있습니다. 우리는 몇 개의 글자를 가지고 있습니까? 우리는 하나, 두 개의 글자를 가지고 있습니다. 그럼 우리가 가장 많이 가지고 있는 것은 무엇입니까? 우리는 별을 가장 많이 가지고 있습니다. 세 개의 별, 단지 두 개의 숫자와 두 개의 글자. 우리는 별을 가장 많이 가지고 있습니다."
Video_ Counting in pictures.txt,"[0, 23]","이 사진에 얼마나 많은 사람들이 보이나요? 보세요, 저는 하나, 둘, 셋, 넷, 다섯, 여섯 명이 보입니다. 그래서 저는 여섯 명을 선택할 거에요. 재미있네요. 계속해 봅시다. 사진에 얼마나 많은 바퀴가 보이나요? 하나, 둘, 셋, 넷, 다섯, 여섯, 일곱, 여덟. 여기 있는 걸 놓치지 않으려고 스크롤을 내려봅니다. 9, 10, 11, 12, 13, 14, 15, 16개의 바퀴. 16개의 바퀴가 있어요. 이 네 대의 차량에는 16개의 바퀴가 있습니다. 그래서 16개의 바퀴. 계속해 봅시다. 보트 안에 얼마나 많은 사람들이 있나요? 하나, 둘, 그리고 셋을 보여요. 노를 젓고 있는 사람이 있습니다. 그리고 어머니도 있습니다. 그리고 아기가 있습니다. 이 보트 안에는 세 명이 있어요. 보트 안에는 세 명이 있습니다. 이건 너무 재미있네요. 얼마나 많은 얼굴을 보나요? 하나, 둘, 셋, 넷, 다섯, 여섯, 일곱, 여덟, 아홉, 열개의 얼굴을 보여요. 계속해 봅시다. 병이 얼마나 많이 보이나요? 하나, 둘, 셋, 넷 개의 병이 보입니다. 그리고 끝납니다."
Video_ Counting objects 1.txt,"[0, 11]","어떤 상자에 12마리의 고래가 있는지요? 그래, 이런 이 녹색 상자를 보세요, 한번 세어 봅시다. 하나, 둘, 셋, 넷, 다섯, 여섯, 일곱, 여덟, 아홉, 열, 열하나, 열둘, 열셋, 열넷. 이건 12마리의 고래가 아니네요. 바로 이곳에 있던 이 상자를 보세요. 이건 하나, 둘, 셋, 넷, 다섯, 여섯 마리의 고래가 있으니, 역시 12마리는 아니군요. 그러니까 이 상자여야 할 것 같은데, 다시 한번 확인해 봅시다. 하나, 둘, 셋, 넷, 다섯, 여섯, 일곱, 여덟, 아홉, 열, 열하나, 열둘. 그럼요, 이 상자에 12마리의 고래가 있네요. 답을 확인해보죠. 몇 개 더 해볼까요? 양은 몇 마리가 있을까요? 하나, 둘, 셋, 넷, 다섯, 여섯, 일곱, 여덟, 아홉, 열, 열하나, 열둘, 열셋, 열넷, 열다섯, 열여섯, 열일곱. 열일곱, 열일곱 마리의 양이 있네요. 한 개 더 해보죠. 꽃은 몇 개가 있을까요? 하나, 둘, 셋, 넷, 다섯. 다섯 개의 꽃이 있습니다."
Video_ Counting objects 2.txt,"[0, 1, 2, 3, 23]","당신이 보는 개는 몇 마리입니까? 여기에 개들이 있습니다. 우리는 그들을 세어야만 합니다. 그래서 이 개부터 세기 시작하는데, 그를 다시 세지 않도록 주의해야 합니다. 그래서 저는 가장 위에 있는 이 개부터 시작하겠다고 기억하고 있습니다. 하나, 둘, 셋, 넷, 다섯, 여섯, 일곱, 여덟. 제가 본 개는 여덟 마리입니다. 아홉 마리로 가려고 할 수도 있지만, 이미 이 개를 세었습니다. 그래서 개는 단지 여덟 마리뿐입니다. 그래서 여덟 마리의 개를 봤습니다. 그럼 우리의 끝을 확인해 봅시다. 잘 했습니다. 당신이 보는 쥐는 몇 마리입니까? 똑같습니다. 저는 가장 윗쪽에 있는 쥐부터 세기 시작하는 것을 좋아하지만, 가장 위의 쥐를 계속 세고 있으면 안된다는 것을 기억해야 합니다. 그래서 하나, 둘, 셋, 넷, 다섯, 여섯, 일곱. 이제 여기에 일곱 마리의 쥐가 있는데, 아마 여덟 마리로 가려고 할 수도 있겠지만, 우리는 이미 이 위의 쥐를 세었습니다. 그래서 여기에는 쥐가 단지 일곱 마리뿐입니다. 일곱 마리 쥐. 당신이 동그랗게 계속 돌면서 쥐를 반복해서 세는 것은 조심해야 합니다. 당신은 각각의... 쥐를 딱 한 번만 세고 싶을 것입니다. 다른 것도 해 봅시다. 이것은 너무 재미 있습니다. 
당신이 보는 쿠키는 몇 개입니까? 자, 모두 여기에 섞여있네요. 그리고 우리는 쿠키를 두 번 세지 않도록 조심해야만 합니다. 그럼 보겠습니다. 하나, 둘, 셋, 넷, 다섯, 여섯, 일곱, 여덟, 아홉. 쿠키는 아홉 개입니다. 저는 아홉 개의 쿠키를 봅니다. 쥐는 몇 마리입니까? 자, 이제 여기에는 쥐가 많이 있군요. 그러니까 하나, 둘, 셋, 넷, 다섯, 여섯, 일곱. 여덟, 아홉, 열, 열하나, 열둘, 열셋, 열넷, 열다섯, 열여섯, 열일곱, 열여덟, 열아홉 마리의 쥐입니다. 쥐는 열아홉 마리입니다. 쥐가 많네요."
y2mate.com - Adding 1 vs adding 10  Addition and subtraction  1st grade  Khan Academy_v720P.txt,"[0, 1, 2]","이 비디오를 잠시 멈추고, 실제로 27 더하기 1이 얼마인지, 가능하다면 27 더하기 10이 얼마인지 알아보세요. 그럼, 함께 생각해봅시다. 이 계산에는 크게 어려움이 없었을 것입니다. 1을 더한다는 것은 다음 숫자로 넘어가는 것이다, 그래서 27에서 한 번 더하면 28이 됩니다. 하지만 이 연습 문제를 하는 이유는 우리가 자릿수에 대해 고민하게 만듭니다. 여기서, 27이라는 수에서는, 2라는 수가 십의 자리에 있고, 이 2는 여기서 십의 자리입니다. 그리고 7은 일의 자리입니다. 그래서 27이라는 숫자를 두 개의 십과 일곱 개의 일로 표현할 수 있습니다. 그리고 이제 하나를 더한다는 건, 이 일의 자리 수를 하나 늘리는 것인데, 그렇다면 나는 얼마를 얻게 될까요? 여전히 두 개의 십이 있을 것이고, 그리고 얼마나 많은 일이 있을까요? 아, 여덟 개의 일이 있을 것입니다. 그러니까 결과는 28이 됩니다. 이것은 여러분에게 놀랍지 않을 수 있지만 자릿수에 대해 생각하는 것은 뒷받침되는 수학을 배울수록 매우 유용합니다. 이제 27 더하기 10에 대해 같은 것을 해봅시다. 우리는 이미 27을, 즉 두 십과 일곱 일로 말했었습니다. 그리고 이제 십에서, 일은 일의 자리가 아니라 더큰 수학을 배울수록 더 유용해집니다. 이제 27에 10을 더하면 어떻게 될까요? 우리는 이미 27, 즉 두 개의 십과 일곱 개의 일로 얘기했습니다. 그리고 이제 10에서, 1은 일의 자리에 있는 것이 아니며, 여기서의 1은 십의 자리입니다. 그래서 우리는 십 한 개와 일 없음을 가집니다. 그래서 십만이 그룹인 10이라는 숫자만 갖게 됩니다. 그래서 이 둘을 더하면 얼마가 될까요? 이제 여러분은 십을 세 개 가질 것입니다. 그래서 십의 자리에는 세 개가 됩니다. 그리고 여전히 일곱 개의 일을 가지고 있을 것입니다.  그러니까, 여기서는 1을 더하면 일의 자리에서 1만큼 증가한 것이고, 여기서는 10, 즉 십 한 개를 더하면 일의 자리가 늘어나지 않고 십의 자리가 늘어납니다."
y2mate.com - Adding 5  3  6  Addition and subtraction within 20  Early Math  Khan Academy_720pFH.txt,"[1, 2]","그래서 우리는 세 가지 다른 모양을 가지고 있습니다. 우리는 별, 사각형, 그리고 삼각형을 가지고 있습니다. 그리고 각 모양의 개수는 다릅니다. 별은 5개, 사각형은 3개, 그리고 삼각형은 6개를 가지고 있습니다. 모든 모양들을 여기서 보실 수는 없습니다. 이것은 각 모양들의 개수를 알려주는 것입니다. 그래서 별 5개, 사각형 3개, 삼각형 6개를 가지고 있다면, 총 몇 개의 모양이 있을까요? 아마도 어쩌면 이 숫자들을 더해야 한다고 말하실지도 모르겠습니다. 왜냐하면 전체의 수를 알아내려고 하고 있기 때문입니다. 그렇게 말하신다면, 맞다고 대답하겠습니다. 그래서 이 숫자들을 더해봅시다. 그래서 5 더하기 3 더하기 6을 더하고 싶습니다. 그럼 이 결과는 무엇이 될까요? 5 더하기 3은 얼마일까요? 삼각형 5개 더하기 사각형 3개는요. 5 더하기 3은 8입니다. 그래서 이것은 8이 될 것이고, 그리고 아직 6을 더해야 합니다. 그래서 우리는 아직... 6을 더하려고 합니다. 그렇다면 8 더하기 6은 얼마일까요? 아마 알 수도 있고 모를 수도 있습니다. 그리고 모른다면, 원한다면 직접 세어 볼 수 있지만, 머릿속으로 알고 있는 것이 좋습니다. 아직 모르신다면, 뇌에 이것을 넣어두세요. 8 더하기 6은 14입니다. 8 더하기 6은 14와 같습니다. 그러므로 5 더하기 3 더하기 6도 14와 같습니다. 이제 가지실 수 있는 질문 중 하나는. 순서는 중요할까요? 이를 반대로 해봅시다. 다시 해보죠. 5 더하기 3, 그리고 6 더하기 6을 적어봅시다. 첫 번째에 5와 3을 더하는 대신에, 3과 6을 먼저 더해봅시다. 그러면 3 더하기 6은 얼마일까요? 그것은 9가 될 것이고, 그럼 우리는 5 더하기 9가 될 것입니다. 5 더하기 9는 얼마일까요? 다시 한 번, 그것을 알고 계신다면, 그것이 14라는 것을 알 수 있습니다. 모르신다면, 또 다른 좋은 것을 머리에 넣어두는 것입니다. 이것을 알기 위해서 5더하기 9가 14임을 알게 되었습니다. 모르시거나 믿지 않으신다면, 조약돌을 꺼내서 5개와 9개를 가져와서 합치면 14가 된다는 것을 알게 되실 것입니다. 하지만 이건 당신이 머리에 꼭 갖고 있어야 하는 사실입니다. 또 다른 방법으로 해 볼 수도 있습니다. 5와 6을 먼저 더할 수 있었습니다. 그럼 11 더하기 3이 될 텐데, 그것도 14입니다. 어찌됐든, 총 14개의 도형을 가지고 있습니다."
y2mate.com - Adding 7  6  Addition and subtraction within 20  Early Math  Khan Academy_720pFH.txt,"[1, 2, 0]","이 문장을 한국어로 번역하면 다음과 같습니다: 일단, 일곱더하기 육을 생각해 봅시다. 그리고 여러분이 이 비디오를 일시정지하고 직접 생각해 보시길 권합니다. 그래서 여러분이 이 문제에 도전해 보셨다고 가정하겠습니다. 그러니 우리 함께 생각해 봅시다. 이것을 일곱 개의 물체에 육 개의 물체를 더한 것으로 생각할 수 있습니다. 그리고 그러면 우리가 총 몇 개의 물체를 가지고 있는지 생각해 볼 수 있습니다. 예를 들어, 우리는 이것을 토마토 일곱 개로 생각할 수 있습니다. 그러니까, 토마토 하나, 둘, 셋, 넷, 다섯, 여섯, 일곱. 그리고 그런 다음에 우리는 여기에 육 개의 물체를 더할 것입니다. 그리고 그것들이 블루베리라고 생각해 보고, 우리는 총 과일 갯수에 관심이 있습니다. 그러니까, 하나, 둘, 셋, 넷, 다섯, 여섯. 블루베리 육개입니다. 이제, 우선 일곱개로 시작했으니 그게 일곱입니다. 따라서 계속 세면, 이것이 일곱이고, 이것이 팔, 아홉, 열, 십일, 십이, 십삼이 될 것입니다. 그러니까, 지금 나는 총 십삼 개의 과일을 가지고 있습니다. 과일 십삼 개 말이죠. 이것을 다른 방법으로 어떻게 생각할 수 있을까요? 우리는 숫자선을 그려서 생각해 봤을 수도 있어요. 그러니까, 자, 우리 자신의 숫자선을 그려 봅시다. 그러니까, 우리가 어떤 숫자를 가지고 있다고 해 봅시다. 실제로 아직 사용하지 않은 색으로 해 봅시다. 그래도 일곱에서 시작할 수 있어요. 일곱에서 시작할게요. 그리고 나는 여섯개를 더할 거에요. 나는 숫자선 위로 더 올라가려는거야. 그래서 이렇게 해 봅니다. 하나, 둘, 셋, 넷, 다섯, 여섯. 그리고 물론 계속 갈 수 있어요. 팔, 아홉, 열, 열하나, 열둘, 열셋이 될 것입니다. 그리고 당연히 계속 갈 수 있습니다. 하지만 일곱 더하기 육을 시작점인 일곱을 두고 그 다음에 숫자선 위로 여섯의 점프를 하는 것으로 시각화할 수 있습니다. 하나, 둘, 셋, 넷, 다섯, 여섯. 어떤 방법이든, 우리는 결국 십삼에 도달합니다. 다른 생각 방법은, 우리가 일곱에서 시작해서 열에 다다르기 위해 세를 더했고, 그래서 세를 더해야하는 거죠. 그래서 결론은 십삼이 됩니다. 그리고 이것이 십삼 이란 숫자의 본질입니다. 십삼이란 숫자는 왼쪽에 일, 즉 십의 자리를 가지고 있습니다. 이 숫자는 십의 자리에 있으므로, 이것은 그 자체로 십이라는 것을 나타냅니다. 그래서 이것은 열 하나,
즉 110에 세 개를 더하는 것입니다. 그리고 여기에서 바로 보실 수 있습니다. 그래서 내가 과일을 더했을 때, 이것은 십의 묶음 하나입니다. 그러니까 이것은 십의 한 묶음입니다. 그리고 우리는 열에 도달하기 위해 세를 더했습니다. 그러니까, 우리는 그 바구니를 채웠고, 그런 다음에 세 개가 더 남았습니다. 그래서 일곱더하기 육을 하면, 여러분은 십의 한 묶음을 완성하고 그 다음에 세 개의 일이 남습니다. 이것이 여기 있습니다. 그러니까, 다른 방법으로 생각해 볼 수도 있습니다. 일곱 더하기 육은 열 더하기 삼과 같다는 것입니다. 물론 이것이 십삼이죠. 그래서 이것은 동일한 일입니다. 십 하나는 열, 그리고 삼, 그리고 삼이 삼일입니다. 결국 어떻게 보든, 그것이 십삼입니다."
y2mate.com - Adding 8  7  Addition and subtraction within 20  Early Math  Khan Academy_720pFH.txt,"[0, 1, 2]","8 더하기 7이 얼마인지 생각해봅시다. 이것을 상상해보면 8개의 토마토에 7개의 블루베리를 더하는 것과 같습니다. 그리고 이렇게 하면 총 과일이 얼마나 되는지 알 수 있습니다. 비디오를 잠시 멈추고 이것을 직접 해보시라고 권장합니다. 그러니까, 시도해본 것으로 가정합니다. 그럼 이에 대해 좀 더 생각해봅시다. 나는 처음으로 나의 양동이를 채울 때까지 토마토를 계속 더하려고 합니다. 그리고 나는 총로 무엇을 더해야 할지 봅시다. 그럼 토마토 하나, 둘, 셋, 네 개, 다섯 개, 여섯 개, 일곱 개, 그리고 여덟 개를 더해봅시다. 이제 이 여덟 개의 토마토에 나는 7개의 블루베리를 더할 겁니다. 그래서 이것은 하나, 둘이 될 것입니다. 그리고 나는 실제로 여기에서 멈출 것입니다. 왜냐하면 나는 방금 열 개 그룹을 완성했기 때문입니다. 이것은 이미 나는 블루베리 두 개만 더했을 뿐인데, 나는 더 많은 블루베리를 더해야 하는데, 이 두 개의 블루베리만 더하는 것으로 열 개의 그룹을 완성했습니다. 그래서 나는 이미 열 개의 과일이 있다는 것을 표현할 수 있습니다. 나는 이 열 개 그룹이 있기 때문에, 이것을 이자리에 표현할 수 있다. 그래서 이것은 두 자리의 숫자가 될 것이고, 왼쪽의 숫자가 1이 될 거라는 것입니다. 하지만 블루베리를 더하는 것은 아직 끝나지 않았다는 것입니다. 나는 블루베리 두 개만 더했을 뿐입니다. 이제 나는 세 번째, 네 번째, 다섯 번째, 여섯 번째, 그리고 일곱 번째 블루베리를 더해보겠습니다. 그래서 나는 열 개 그룹이 있고, 그 위에는 열 개를 채우는 것이 표현 되어있다. 여기에 표현되어 있는데, 이것은 두 자리 수이기 때문에 왼쪽에 있는 자리입니다. 그래서 이것은 십의 자리에 있다는 것은, 그것이 바로 십 그룹을 나타낸다는 것입니다. 그리고 나는 얼마나 더 있어야 하는지 얼마나 더 있을까요? 그럼, 나는 또 다른 5개의 일의 자리가 있습니다. 다섯 개의 일의 자리입니다. 그러니까 우리는 하나의 십의 자리가 있고, 다섯 개의 일의 자리가 있습니다. 그러면 8 더하기 7은 얼마일까요? 그것은 15입니다. 그리고 또 다른 방법으로 우리가 기억하는 방법은 15의 1이 나타내는 것은 십의 자리라는 것입니다. 이것을 기록해봅시다. 그것은 십의 자리를 나타냅니다. 그리고 5는 5개의 일의 자리를 나타내고, 5개의 일의 자리를 나타낸다. 그리고 이에 대해 또 다른 방법으로 생각해볼 수 있습니다. 십의 자리는 일의 자리와 같습니다. 그리고 5, 일의 자리는 5와 같습니다. 그래서 8 더하기 7은 15입니다. 이것이 이 비디오의 전체 목표였습니다. 하지만 우리는 이 숫자들이 무엇을 나타내는지에 대해 생각하고 싶습니다. 15는 실제로 1, 10 더하기 5, 1s, 또는 10 더하기 5를 나타냅니다.
"
